topic,concept,question,correct_answer,bloom_level,explanation,option_A,option_B,option_C,option_D
Interactive Programming,JShell for experimentation and discovery,Which of the following best describes the primary use of JShell in Java programming?,B,Understand,"JShell is a tool introduced in Java 9 that allows developers to execute Java code snippets interactively. It is primarily used for learning, experimenting with code, and quickly testing new ideas without the need to set up an entire Java project. This helps in understanding Java concepts more effectively and discovering how different pieces of code behave.",JShell is a tool for converting Java code into other programming languages.,JShell is used for interactive experimentation and discovery of Java code.,JShell is primarily used for debugging Java code in a production environment.,JShell is used for compiling and running complete Java applications.
Software Engineering,Java 9 module system,Which of the following is a key feature introduced in Java 9 that helps in encapsulating packages and managing dependencies?,A,Remember,Java 9 introduced the module system as a major feature to improve the encapsulation of packages and manage dependencies more effectively. This system allows developers to define modules that specify which packages they export and which other modules they require.,Module system,Package system,Dependency manager,Class encapsulation
Recursion,Generating fractal computer graphics,Which of the following best describes how recursion is used to generate fractal computer graphics?,A,Understand,"In fractal computer graphics, recursion is used to generate complex patterns by repeatedly applying a function to its own output. This process creates self-similar patterns at different scales, which is a key characteristic of fractals.",Recursion repeatedly applies a function to its own output to create self-similar patterns.,"Recursion applies a function once to generate a single pattern, which is then copied to form a fractal.",Recursion breaks down a complex pattern into simpler parts without repeating any function calls.,Recursion uses a loop to iterate over a set of predefined patterns to create complex graphics.
Recursion,Fibonacci series,Which of the following best describes the role of recursion in generating the Fibonacci series?,A,Understand,"Recursion is a technique where a function calls itself to solve a smaller instance of the same problem. In the context of the Fibonacci series, a recursive function typically calls itself with the two preceding numbers to compute the next number in the sequence.",Recursion involves a function calling itself with smaller inputs to calculate Fibonacci numbers.,Recursion generates Fibonacci numbers by directly computing each number without any function calls.,Recursion uses a loop to iterate through numbers and store Fibonacci values in an array.,Recursion involves a function calling itself with larger inputs to calculate Fibonacci numbers.
Streams,Treating sequences as streams,Which of the following best describes how sequences can be treated as streams in programming?,A,Understand,"Treating sequences as streams allows for processing data one element at a time, which is useful for handling large datasets or infinite sequences. This approach avoids loading the entire sequence into memory, enabling efficient computation and reduced memory usage.",Sequences can be processed element-by-element without loading the entire sequence into memory.,Sequences can be processed in parallel without any concern for the order of elements.,Sequences can be treated as streams only if they are converted into arrays first.,Sequences can be processed only after the entire sequence is loaded into memory.
Graphics,JavaFX lighting effects on 3D objects,Which JavaFX class is used to apply lighting effects to 3D objects?,D,Remember,"In JavaFX, the 'Lighting' class is used to apply lighting effects to 3D objects. This class allows developers to simulate different types of light sources, such as point lights or distant lights, to enhance the visual appearance of 3D objects.",LightSource,Shading,Illumination,Lighting
Development Environment,Java SE Development Kit (JDK),Which of the following components is included in the Java SE Development Kit (JDK)?,A,Remember,"The Java SE Development Kit (JDK) includes tools necessary for developing Java applications, such as the Java Compiler (javac), which translates Java source code into bytecode that can be executed by the Java Virtual Machine (JVM).",Java Compiler (javac),Java Virtual Machine (JVM),Java Runtime Environment (JRE),Java Application Server
Version Management,Managing multiple JDK versions,Which tool is commonly used to manage multiple JDK versions on a single machine?,D,Remember,"SDKMAN! is a tool that helps developers manage multiple versions of software development kits, including different JDK versions, on a single machine. It allows for easy installation, switching, and removal of JDKs, making it a popular choice among developers.",JDKSWAP,JDKMANAGER,JVMTOOL,SDKMAN!
Environment Setup,Setting the PATH environment variable,Which command is used to permanently add a directory to the PATH environment variable in a Unix-based system?,B,Understand,"To permanently modify the PATH environment variable, you need to add the export command to your shell's profile file. This ensures that every time a new shell session starts, the specified directory is included in the PATH, allowing the system to locate executables in that directory.",Add the export command to a temporary session file like .bash_profile or .zsh_profile.,"Add the export command to your shell's profile file, such as .bashrc or .zshrc.",Edit the PATH variable directly in the /etc/environment file for permanent changes.,Use the set command in the terminal to update the PATH variable permanently.
Environment Setup,JDK installation directory,Where is the JDK typically installed on a Windows operating system?,C,Remember,The JDK is commonly installed in the 'C:\Program Files\Java\jdk<version>' directory on Windows systems. This is a standard location that helps users and applications easily locate the Java Development Kit.,C:\Program Files (x86)\Java\jdk<version>,C:\Users\<username>\AppData\Local\Java\jdk<version>,C:\Program Files\Java\jdk<version>,C:\Windows\System32\Java\jdk<version>
Environment Setup,CLASSPATH environment variable,What is the purpose of the CLASSPATH environment variable in a Java development environment?,A,Understand,"The CLASSPATH environment variable is used by the Java Virtual Machine (JVM) to locate user-defined classes and packages needed for Java applications. By setting the CLASSPATH, developers can ensure that the JVM can find and load the necessary classes during runtime.",It specifies the location of user-defined classes and packages.,It determines the maximum memory allocation for the Java Virtual Machine.,It sets the default directory for Java source files and projects.,It specifies the location of Java Development Kit (JDK) installation files.
Environment Setup,Setting the JAVA_HOME environment variable,Which of the following commands is used to set the JAVA_HOME environment variable on a Unix-based system?,A,Remember,"The 'export' command is used in Unix-based systems to set environment variables. JAVA_HOME is a common environment variable that points to the directory where Java is installed. By using 'export JAVA_HOME=/path/to/java', you are specifying the path to the Java installation directory.",export JAVA_HOME=/path/to/java,setenv JAVA_HOME /path/to/java,set JAVA_HOME=/path/to/java,export PATH=$JAVA_HOME/bin
Software Installation,Installing JDK on Windows and macOS,Which of the following steps is necessary to install the JDK on both Windows and macOS?,D,Remember,"To install the JDK on both Windows and macOS, the first step is to download the appropriate installer from the official Oracle website. This step is common to both operating systems, ensuring that users have the correct version of the JDK for their platform.",Install an IDE like Eclipse or IntelliJ before downloading the JDK.,Download the JDK source code and compile it manually on your system.,Use the system's package manager to automatically install the JDK.,Download the JDK installer from the official Oracle website.
Software Installation,Installing JDK on Linux using tar.gz archive,Which of the following commands is used to extract a JDK tar.gz archive on a Linux system?,B,Understand,"The 'tar -xzf' command is used to extract files from a tar.gz archive in Linux. '-x' stands for extract, '-z' for decompressing a gzip file, and '-f' specifies the file to be extracted. This command is essential for installing the JDK from a tar.gz archive.",tar -xvf jdk-<version>.tar.gz,tar -xzf jdk-<version>.tar.gz,unzip jdk-<version>.tar.gz,tar -czf jdk-<version>.tar.gz
Version Control,Understanding JDK version numbering prior to Java 9,Which of the following correctly describes the version numbering scheme used for the JDK prior to Java 9?,A,Understand,"Before Java 9, the JDK version numbering followed a 'Major.Minor.Security' format. This scheme included a major version number, a minor version number, and an optional security update number. This system was changed in Java 9 to a more detailed version string format.",Major.Minor.Security,Major.Minor.Revision,Major.Minor.Patch,Major.Security.Build
Version Control,Understanding new JDK version numbering from Java 9 onwards,What is the correct format for the new JDK version numbering introduced in Java 9?,C,Understand,"Starting with Java 9, the version numbering scheme was changed to a new format: Feature.Interim.Update.Patch. This format allows for a more straightforward and predictable versioning system, where 'Feature' indicates the major version, 'Interim' is for minor updates, 'Update' is for security and bug fixes, and 'Patch' is for emergency patches.",Version.Release.Update.Fix,Major.Minor.Patch.Build,Feature.Interim.Update.Patch,Edition.Revision.Maintenance.Patch
Environment Configuration,Managing PATH environment variable on Windows for JDK,Which of the following steps correctly describes how to add the JDK's 'bin' directory to the PATH environment variable on a Windows system?,B,Understand,Managing the PATH environment variable involves modifying system settings to include the directory of the JDK's executable files. This allows the system to recognize Java commands globally. The correct approach is to access the Environment Variables through System Properties and edit the PATH variable to include the new directory.,"Open the Command Prompt and type 'set PATH=%PATH%;C:\Program Files\Java\jdk\bin', then press Enter to permanently update the PATH variable.","Navigate to System Properties > Advanced > Environment Variables, then edit the PATH variable under 'System variables' to include the path to the JDK's 'bin' directory.","Go to File Explorer, right-click on 'This PC', select 'Properties', then add the JDK's 'bin' directory to the PATH variable under 'User variables'.","Navigate to Control Panel > Programs > Java, then add the JDK's 'bin' directory to the PATH variable under 'Java Runtime Environment'."
Environment Configuration,Temporary PATH setting for Command Prompt on Windows,Which command temporarily adds a directory to the PATH environment variable in a Windows Command Prompt session?,A,Apply,"The 'set PATH=%PATH%;C:\example\directory' command appends 'C:\example\directory' to the current PATH variable for the duration of the Command Prompt session. This change is temporary and only affects the current session, meaning it will not persist after the Command Prompt is closed.",set PATH=%PATH%;C:\example\directory,add PATH=%PATH%;C:\example\directory,set PATH=C:\example\directory;%PATH%,set TEMP_PATH=%PATH%;C:\example\directory
Environment Configuration,Determining installed JDKs on macOS using Terminal,Which Terminal command can you use to list all installed JDK versions on a macOS system?,B,Remember,"The command '/usr/libexec/java_home -V' is used to display all installed JDK versions on macOS. It lists each version along with its installation path, allowing users to determine which JDKs are available on their system.",/usr/local/bin/java_home -v,/usr/libexec/java_home -V,/usr/bin/java_home -V,/usr/libexec/java -version
Introduction to Computing,"Computer hardware, software and networking basics",Which of the following components is considered hardware in a computer system?,A,Remember,"Hardware refers to the physical components of a computer system, such as the CPU, monitor, keyboard, and mouse. In contrast, software refers to the programs and operating systems that run on the hardware. Networking basics involve the connections and protocols that allow computers to communicate with each other.",CPU (Central Processing Unit),Cloud Storage,Operating System,Web Browser
Introduction to Computing,Data hierarchy,"In the data hierarchy, which of the following represents the smallest unit of data?",B,Remember,"The data hierarchy organizes data from the simplest to the most complex form. A bit is the smallest unit, representing a binary value of 0 or 1. It is the foundation upon which larger data structures, such as bytes, fields, records, and databases, are built.",Nibble,Bit,Byte,Character
Programming Languages,"Machine Languages, Assembly Languages and High-Level Languages",Which of the following types of programming languages is closest to the hardware and requires the programmer to manage memory directly?,D,Understand,"Machine languages are the lowest level of programming languages, consisting of binary code that the computer's processor can execute directly. They are hardware-specific and require detailed management of memory and processor instructions, unlike assembly languages which use mnemonics or high-level languages which abstract these details.",Assembly Languages,Scripting Languages,High-Level Languages,Machine Languages
Object-Oriented Programming,Object Technology,Which of the following best describes the concept of object technology in object-oriented programming?,D,Understand,"Object technology is a fundamental concept in object-oriented programming where software is designed using objects. These objects encapsulate both data (attributes) and behaviors (methods), promoting modularity and reusability. Understanding this concept is crucial for grasping how object-oriented programming encourages more organized and maintainable code.",Object technology involves using functions and procedures to create modular and reusable software components.,Object technology emphasizes the use of inheritance to create software components that are strictly hierarchical and non-reusable.,"Object technology focuses on using classes to store data without behavior, ensuring data integrity and security.",Object technology involves using objects that encapsulate data and behavior to create modular and reusable software components.
Object-Oriented Programming,Methods and Classes,"In object-oriented programming, which of the following best describes the role of a method within a class?",C,Understand,"In object-oriented programming, a class serves as a blueprint for creating objects, and methods are functions defined within a class that describe the behaviors or actions that the objects created from the class can perform. Understanding the role of methods within a class is crucial for grasping how objects interact and operate in object-oriented design.",A method defines the data structure and attributes that instances of the class will have.,A method is used to create new instances of the class and initialize their state.,A method defines a behavior or functionality that instances of the class can perform.,A method is a variable within the class that holds the state of an object.
Object-Oriented Programming,Instantiation,"In object-oriented programming, what is the process of creating a specific instance of a class called?",A,Remember,"Instantiation is the process of creating an object from a class. When a class is defined, no memory is allocated until an object of that class is created. This process involves calling the constructor of the class, which sets up the initial state of the object.",Instantiation,Integration,Initialization,Implementation
Object-Oriented Programming,Reuse,"In object-oriented programming, which of the following concepts primarily facilitates code reuse?",C,Understand,"Inheritance allows a new class to inherit properties and methods from an existing class, enabling the reuse of existing code without having to rewrite it. This promotes efficiency and consistency in code development.",Abstraction,Encapsulation,Inheritance,Polymorphism
Object-Oriented Programming,Messages and Method Calls,"In object-oriented programming, what is the term used to describe the process of sending a request to an object to execute one of its methods?",A,Remember,"In object-oriented programming, a method call is the process of invoking a method on an object. This is done by sending a message to the object, which then executes the specified method. Understanding this concept is fundamental to grasping how objects interact with each other in OOP.",Method call,Object invocation,Procedure request,Function trigger
Object-Oriented Programming,Attributes and Instance Variables,"In object-oriented programming, which of the following best describes an instance variable?",B,Understand,"Instance variables are variables that are defined within a class but outside any method. They hold data that is specific to each instance of the class, meaning each object created from the class can have different values for these variables. This concept is fundamental in understanding how objects maintain their state in object-oriented programming.",A variable that is defined in a method and holds data unique to each instance of the class.,A variable that is defined in a class and holds data unique to each instance of the class.,A variable that is defined outside of any class and holds data unique to each instance of the class.,A variable that is defined in a class and holds data shared among all instances of the class.
Object-Oriented Programming,Encapsulation and Information Hiding,Which of the following best describes the concept of encapsulation in object-oriented programming?,A,Understand,"Encapsulation is a fundamental principle of object-oriented programming that involves bundling the data (attributes) and the methods (functions) that operate on the data into a single unit, typically a class. This concept also involves restricting access to certain components to protect the integrity of the data, which is known as information hiding. By understanding this concept, learners can appreciate how encapsulation helps in maintaining code modularity and security.","Encapsulation is the practice of bundling data and methods that operate on that data within a single unit, often restricting access to some components.",Encapsulation is the practice of using inheritance to create a hierarchy of classes that share common methods and properties.,"Encapsulation is the process of converting an object into a format that can be easily stored and transferred, often involving serialization.",Encapsulation is the technique of defining multiple methods with the same name but different parameters to perform various tasks.
Object-Oriented Programming,Interfaces,Which of the following best describes the purpose of an interface in object-oriented programming?,D,Understand,"An interface in object-oriented programming is used to define a set of methods that a class must implement. It acts as a contract, ensuring that the class adheres to a specific structure. This allows for consistent behavior across different classes and facilitates polymorphism, where different classes can be used interchangeably if they implement the same interface.",An interface provides a complete implementation that classes can inherit and use directly.,An interface defines a set of private methods that can be used only within the implementing class.,An interface is used to store constant values that can be accessed by any class in the program.,"An interface defines a contract that classes must follow, specifying methods that must be implemented."
Object-Oriented Programming,Object-Oriented Analysis and Design (OOAD),Which of the following best describes the purpose of Object-Oriented Analysis and Design (OOAD) in software development?,D,Understand,"OOAD is a methodology used in software development that focuses on analyzing and designing a system by visualizing it as a group of interacting objects. This approach helps in structuring the software in a way that is both intuitive and aligned with real-world concepts, facilitating better design and implementation.",To design software systems by primarily emphasizing the procedural flow of operations rather than object relationships.,To focus solely on the implementation details of software systems without considering object interactions.,To model and design software systems by identifying the hardware components and their configurations.,To model and design software systems by identifying and organizing objects and their interactions.
Object-Oriented Programming,Unified Modeling Language (UML),Which of the following diagrams in UML is primarily used to represent the static structure of a system?,D,Remember,"A class diagram in UML is used to depict the static structure of a system by showing the system's classes, their attributes, operations, and the relationships among the objects. It is essential for visualizing the architecture of a system at a high level.",Use case diagram,Activity diagram,Sequence diagram,Class diagram
Operating Systems,WindowsA Proprietary Operating System,Which of the following is a characteristic of the Windows operating system?,B,Understand,"Windows is developed and sold by Microsoft, which retains exclusive rights to its source code. Users must purchase a license to use it, distinguishing it from open-source operating systems where the source code is freely available.",It is primarily designed for mobile devices.,It is a proprietary operating system.,It is exclusively used for server environments.,It is an open-source operating system.
Operating Systems,LinuxAn Open-Source Operating System,Which of the following is a key characteristic of the Linux operating system?,A,Understand,"Linux is known for being an open-source operating system, meaning its source code is freely available for anyone to view, modify, and distribute. This characteristic allows for a high level of customization and community-driven development.",It is open-source.,It is only compatible with Windows applications.,It is exclusive to proprietary hardware.,It requires a paid license for use.
Operating Systems,Apples macOS and iOS,Which of the following statements correctly describes a key difference between Apple's macOS and iOS?,D,Understand,"macOS and iOS are both operating systems developed by Apple, but they are designed for different types of devices. macOS is used on Apple's desktop and laptop computers, providing a more traditional computing experience, while iOS is optimized for mobile devices, offering a touch-based interface and features suited for smartphones and tablets.","macOS applications can only be downloaded from the Mac App Store, while iOS applications can be downloaded from any website.","macOS supports touch screen interfaces, while iOS does not support touch input.","macOS is designed for devices with ARM processors, while iOS is designed for devices with Intel processors.","macOS is designed for desktop and laptop computers, while iOS is designed for mobile devices like iPhones and iPads."
Operating Systems,Googles Android,Which of the following is a primary function of Google's Android operating system?,D,Understand,"Android is an operating system designed to manage the hardware resources of mobile devices and provide a platform for developers to create applications. It handles tasks such as memory management, process scheduling, and input/output operations, allowing applications to run efficiently on mobile devices.",To serve as a desktop operating system for personal computers,To exclusively run Google-developed applications on mobile devices,To provide antivirus protection and enhance mobile device security,To manage hardware resources and provide a platform for mobile applications.
Programming Languages,Java,Which of the following is a characteristic feature of the Java programming language?,B,Understand,"Java is known for its platform independence due to the Java Virtual Machine (JVM), which allows Java programs to run on any device or operating system that has the JVM installed. This feature is often summarized by the phrase 'write once, run anywhere.'",Pointer arithmetic,Platform independence,Manual memory management,Multiple inheritance
Development Environment,A Typical Java Development Environment,Which of the following components is typically NOT part of a Java development environment?,D,Understand,"A typical Java development environment includes components such as a code editor, compiler, and debugger, which are essential for writing, compiling, and testing Java programs. Spreadsheet software is not typically used in the development process of Java applications.",Debugging tools,Text editor software,Compiler software,Spreadsheet software
Software Testing,Test-Driving a Java Application,What is the primary purpose of test-driving a Java application?,D,Understand,Test-driving a Java application involves creating and running tests to verify that the application behaves as expected. This process helps identify bugs and ensure that the software meets its specified requirements before it is deployed.,To ensure the application is compatible with all operating systems,To verify that the application has no syntax errors,To improve the application's performance and speed,To ensure that the application meets its requirements and functions correctly.
Internet and Web,Internet: A Network of Networks,Which of the following best describes the Internet?,B,Understand,The Internet is often referred to as a 'network of networks' because it is a vast collection of interconnected networks that communicate with each other using standardized protocols. This allows different types of networks across the globe to connect and share information.,A private network accessible only by government agencies.,A global network of interconnected networks.,A single network connecting all computers worldwide.,A local network used for connecting devices within a home.
Internet and Web,World Wide Web: Making the Internet User-Friendly,Which of the following innovations made the Internet more accessible and user-friendly for the general public?,A,Understand,"The World Wide Web, through the development of web browsers, transformed the Internet from a complex, text-based system into a user-friendly platform with graphical interfaces. This made it easier for non-technical users to access and navigate the vast resources available online.",The development of web browsers,The invention of email services,The development of search engines,The creation of online forums
Internet and Web,Web Services and Mashups,Which of the following best describes a web service mashup?,D,Understand,"A web service mashup involves integrating multiple web services to produce a new, unique application or service. This process allows developers to leverage existing functionalities from different sources, creating innovative solutions that meet specific user needs.",A single web service that provides data to multiple applications simultaneously.,A standalone application that uses a web service to perform a specific task without combining other services.,A web service that converts data formats to ensure compatibility across different platforms.,A combination of multiple web services to create a new application or service.
Internet and Web,Internet of Things,Which of the following best describes the Internet of Things (IoT)?,B,Understand,"The Internet of Things (IoT) refers to a system where various devices are connected to the internet, allowing them to communicate and share data with each other. This concept enhances automation and data collection across different environments, such as smart homes, industrial settings, and healthcare.",A system of web applications that allow users to interact with websites.,A network of interconnected devices that can collect and exchange data.,A collection of online services that store personal data for easy access.,A network of computers that provide internet access to remote areas.
Software Technologies,Software Technologies Overview,Which of the following is an example of a software technology used for managing databases?,C,Remember,MySQL is a widely used open-source relational database management system (RDBMS). It is an example of software technology specifically designed to manage and organize data in databases. Recognizing MySQL as a database management tool is a fundamental aspect of understanding software technologies.,CSS,HTML,MySQL,JavaScript
Java Programming,Introduction to Java,Which of the following is a valid entry point for a Java application?,A,Remember,"In Java, the main method is the entry point of any standalone application. It must be declared as 'public static void main(String[] args)' to be recognized by the Java Virtual Machine (JVM) as the starting point of the program.",public static void main(String[] args),public static void Main(String[] args),static public void main(String args),public void main(String[] args)
Java Programming,Java for Enterprise Programming,Which of the following Java technologies is most commonly used for building scalable enterprise applications?,B,Remember,"Java EE (Enterprise Edition) is a set of specifications that extend the Java SE (Standard Edition) with specifications for enterprise features such as distributed computing and web services. It is widely used for building large-scale, reliable, and secure enterprise applications.",Java ME (Micro Edition),Java EE (Enterprise Edition),Java SE (Standard Edition),Java FX (JavaFX)
Java Programming,Java for Internet-Based Applications,Which of the following Java technologies is primarily used for building dynamic web applications?,C,Understand,"JavaServer Pages (JSP) is a technology used for developing web pages that support dynamic content, which is essential for creating interactive and user-driven web applications. It allows developers to embed Java code in HTML pages, making it a popular choice for internet-based applications.",Java Applets,JavaFX,JavaServer Pages (JSP),Java Swing
Java Programming,Java for Mobile Applications,Which Java platform is primarily used for developing mobile applications?,A,Remember,Java ME (Micro Edition) is a subset of the Java platform specifically designed for mobile devices and embedded systems. It provides a robust and flexible environment for applications running on mobile and other resource-constrained devices.,Java ME (Micro Edition),Java EE (Enterprise Edition),Java SE (Standard Edition),Java FX (JavaFX)
Programming Paradigms,Procedural programming,Which of the following best describes procedural programming?,C,Understand,"Procedural programming is a paradigm that relies on procedures, also known as routines or functions, to operate on data structures. It is characterized by a sequence of instructions that the computer follows, often with a focus on the use of loops, conditionals, and procedures to process data.",A programming paradigm that relies on the manipulation of data structures to drive program execution.,A programming paradigm that focuses on the use of objects to encapsulate data and behavior.,A programming paradigm that uses procedures or routines to perform tasks.,A programming paradigm that emphasizes the use of mathematical functions to perform computations.
Programming Paradigms,Object-oriented programming,Which of the following principles is a fundamental concept of object-oriented programming?,D,Understand,"Encapsulation is a core principle of object-oriented programming that involves bundling the data and methods that operate on the data within a single unit or class. It restricts direct access to some of the object's components, which can prevent the accidental modification of data.",Polymorphism,Inheritance,Abstraction,Encapsulation
Programming Paradigms,Generic programming,Which of the following best describes generic programming?,C,Understand,"Generic programming is a style of computer programming in which algorithms are written in terms of types that are specified as parameters during instantiation. This allows for code reusability and flexibility, as the same algorithm can work with different data types without modification.",A programming paradigm that allows code to be written once and run on any platform without modification.,A programming paradigm that emphasizes the use of functions as the primary building blocks of programs.,A programming paradigm that allows algorithms to be written in terms of types to be specified later.,A programming paradigm that focuses on using classes and objects to model real-world entities.
